ID,Moves,Ranks
210,"Water Gun,Supersonic,Thunder Wave,Flail,Bubble,Confuse Ray,Spark,Take Down,Electro Ball,Bubble Beam,Signal Beam,Discharge,Aqua Ring,Hydro Pump,Ion Deluge,Charge,Agility,Soak,Psybeam","0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4"
211,"Supersonic,Water Gun,Flail,Thunder Wave,Confuse Ray,Bubble,Eerie Impulse,Spark,Take Down,Stockpile,Swallow,Spit Up,Electro Ball,Bubble Beam,Signal Beam,Charge,Aqua Ring,Discharge,Ion Deluge,Hydro Pump,Agility,Soak,Psybeam","0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
212,"Thunder Shock,Charm,Tail Whip,Sweet Kiss,Thunder Wave,Nasty Plot,Charge,Fake Out,Disarming Voice","0,0,1,1,2,2,2,3,4"
213,"Pound,Charm,Encore,Sweet Kiss,Sing,Copycat,Tickle,Fake Tears,Magical Leaf,Wonder Room","0,0,1,1,2,2,2,2,3,4"
214,"Sing,Charm,Defense Curl,Pound,Sweet Kiss,Copycat,Hyper Voice,Bounce,Perish Song","0,0,1,1,2,2,3,3,4"
215,"Growl,Charm,Metronome,Sweet Kiss,Yawn,Encore,Follow Me,Bestow,Baton Pass,Ancient Power,Safeguard,Wish,Double-Edge,Last Resort,After You,Lucky Chant,Nasty Plot,Extrasensory","0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
216,"Growl,Charm,Sweet Kiss,Metronome,Magical Leaf,Yawn,Fairy Wind,Encore,Follow Me,Bestow,Safeguard,Ancient Power,Baton Pass,Wish,Double-Edge,Last Resort,After You,Lucky Chant,Nasty Plot,Extrasensory","0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
217,"Peck,Leer,Night Shade,Teleport,Lucky Chant,Miracle Eye,Me First,Confuse Ray,Ominous Wind,Psycho Shift,Stored Power,Future Sight,Wish,Power Swap,Guard Swap,Psychic,Pain Split,Twister,Haze","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
218,"Peck,Leer,Teleport,Night Shade,Miracle Eye,Lucky Chant,Confuse Ray,Me First,Air Slash,Tailwind,Future Sight,Psycho Shift,Ominous Wind,Stored Power,Wish,Power Swap,Guard Swap,Psychic,Pain Split,Twister,Heat Wave","0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
219,"Tackle,Growl,Thunder Wave,Thunder Shock,Cotton Spore,Charge,Take Down,Electro Ball,Confuse Ray,Power Gem,Signal Beam,Cotton Guard,Discharge,Light Screen,Thunder,Agility,Magnet Rise,Heal Bell","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
220,"Tackle,Growl,Thunder Wave,Thunder Shock,Cotton Spore,Charge,Take Down,Electro Ball,Confuse Ray,Power Gem,Signal Beam,Cotton Guard,Discharge,Light Screen,Thunder,Agility,Magnet Rise,Heal Bell","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
221,"Tackle,Growl,Thunder Wave,Thunder Shock,Magnetic Flux,Ion Deluge,Dragon Pulse,Fire Punch,Cotton Spore,Charge,Take Down,Electro Ball,Confuse Ray,Thunder Punch,Power Gem,Signal Beam,Cotton Guard,Discharge,Light Screen,Thunder,Heal Bell,Magnet Rise,Outrage","0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
222,"Tackle,Growl,Thunder Wave,Thunder Shock,Magnetic Flux,Ion Deluge,Dragon Pulse,Fire Punch,Cotton Spore,Charge,Take Down,Electro Ball,Confuse Ray,Thunder Punch,Power Gem,Signal Beam,Cotton Guard,Discharge,Light Screen,Thunder,Heal Bell,Magnet Rise,Outrage","0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
223,"Sweet Scent,Stun Spore,Leaf Blade,Mega Drain,Sunny Day,Magical Leaf,Quiver Dance,Petal Blizzard,Leaf Storm,Teeter Dance,Swords Dance,Drain Punch","0,1,1,2,2,2,2,3,3,4,4,4"
224,"Tackle,Water Gun,Tail Whip,Water Sport,Bubble,Defense Curl,Rollout,Bubble Beam,Helping Hand,Aqua Tail,Rain Dance,Play Rough,Double-Edge,Aqua Ring,Hydro Pump,Superpower,Belly Drum,Aqua Jet,Ice Punch","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
225,"Tackle,Water Gun,Tail Whip,Water Sport,Bubble,Defense Curl,Rollout,Bubble Beam,Helping Hand,Aqua Tail,Rain Dance,Play Rough,Double-Edge,Superpower,Hydro Pump,Aqua Ring,Belly Drum,Aqua Jet,Ice Punch","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
226,"Flail,Rock Throw,Low Kick,Mimic,Wood Hammer,Copycat,Slam,Feint Attack,Rock Tomb,Tearful Look,Block,Counter,Rock Slide,Sucker Punch,Double-Edge,Stone Edge,Hammer Arm,Head Smash,Fire Punch,Stealth Rock,Self Destruct","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
227,"Bubble Beam,Hypnosis,Double Slap,Perish Song,Swagger,Bounce,Hyper Voice,Mud Shot,Icy Wind,Refresh","0,1,1,2,2,2,2,2,3,4"
228,"Splash,Synthesis,Tail Whip,Tackle,Fairy Wind,Poison Powder,Stun Spore,Sleep Powder,Bullet Seed,Leech Seed,Mega Drain,Acrobatics,Rage Powder,Worry Seed,Giga Drain,Bounce,Memento,Silver Wind,Seed Bomb,Aromatherapy","0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
229,"Splash,Synthesis,Tail Whip,Tackle,Fairy Wind,Poison Powder,Stun Spore,Sleep Powder,Bullet Seed,Leech Seed,Mega Drain,Acrobatics,Rage Powder,Cotton Spore,U-Turn,Worry Seed,Giga Drain,Bounce,Memento,Silver Wind,Seed Bomb,Aromatherapy","0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
230,"Splash,Synthesis,Tail Whip,Tackle,Fairy Wind,Poison Powder,Stun Spore,Sleep Powder,Bullet Seed,Leech Seed,Mega Drain,Acrobatics,Rage Powder,Cotton Spore,U-Turn,Worry Seed,Giga Drain,Bounce,Memento,Cotton Guard,Grassy Terrain,Swords Dance","0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
231,"Tackle,Tail Whip,Sand Attack,Astonish,Baton Pass,Tickle,Fury Swipes,Swift,Screech,Agility,Fling,Double Hit,Nasty Plot,Last Resort,Fake Out,Beat Up,Quick Guard","0,0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
232,"Absorb,Growth,Ingrain,Grass Whistle,Mega Drain,Leech Seed,Razor Leaf,Worry Seed,Giga Drain,Endeavor,Natural Gift,Synthesis,Solar Beam,Double-Edge,Sunny Day,Seed Bomb,Swords Dance,Endure,Grassy Terrain","0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
233,"Absorb,Growth,Pound,Grass Whistle,Ingrain,Mega Drain,Flower Shield,Leech Seed,Razor Leaf,Worry Seed,Giga Drain,Bullet Seed,Natural Gift,Petal Dance,Solar Beam,Double-Edge,Sunny Day,Leaf Storm,Petal Blizzard,Swords Dance,Morning Sun,Endure","0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
234,"Tackle,Foresight,Quick Attack,Double Team,Sonic Boom,Detect,Supersonic,Uproar,Pursuit,Ancient Power,Hypnosis,Wing Attack,Screech,U-Turn,Air Slash,Bug Buzz,Feint,Feint Attack,Tailwind","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
235,"Water Gun,Tail Whip,Mud Sport,Mud Shot,Slam,Mud Bomb,Amnesia,Yawn,Mist,Muddy Water,Rain Dance,Haze,Earthquake,Curse,Ancient Power,Ice Punch","0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
236,"Water Gun,Tail Whip,Mud Sport,Mud Shot,Slam,Mud Bomb,Amnesia,Yawn,Mist,Muddy Water,Rain Dance,Haze,Earthquake,Curse,Ancient Power,Ice Punch","0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
237,"Tackle,Tail Whip,Helping Hand,Sand Attack,Confusion,Quick Attack,Swift,Psybeam,Future Sight,Psych Up,Morning Sun,Psychic,Last Resort,Power Swap,Wish,Heal Bell,Stored Power","0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4"
238,"Tackle,Tail Whip,Helping Hand,Sand Attack,Pursuit,Quick Attack,Confuse Ray,Feint Attack,Assurance,Screech,Moonlight,Mean Look,Last Resort,Guard Swap,Wish,Curse,Foul Play","0,0,0,1,1,1,2,2,2,2,2,2,3,3,4,4,4"
239,"Peck,Astonish,Pursuit,Haze,Wing Attack,Night Shade,Assurance,Taunt,Feint Attack,Mean Look,Foul Play,Tailwind,Sucker Punch,Torment,Quash,Drill Peck,Roost,Perish Song","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
240,"Tackle,Yawn,Growl,Water Gun,Confusion,Power Gem,Disable,Curse,Water Pulse,Headbutt,Nasty Plot,Zen Headbutt,Psychic,Swagger,Hidden Power,Trump Card,Psych Up,Heal Pulse,Future Sight,Foul Play,Brine","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
241,"Growl,Psywave,Spite,Astonish,Confuse Ray,Mean Look,Hex,Psybeam,Pain Split,Payback,Shadow Ball,Perish Song,Grudge,Power Gem,Shadow Sneak,Icy Wind,Nasty Plot","0,0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
242,Hidden Power,0
243,"Counter,Safeguard,Mirror Coat,Destiny Bond","1,2,2,4"
244,"Astonish,Confusion,Growl,Guard Swap,Power Swap,Tackle,Odor Sleuth,Stomp,Agility,Psybeam,Baton Pass,Assurance,Double Hit,Psychic,Zen Headbutt,Crunch,Nasty Plot,Future Sight,Hyper Voice,Sucker Punch","0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
245,"Protect,Tackle,Self Destruct,Bug Bite,Take Down,Rapid Spin,Bide,Natural Gift,Spikes,Payback,Iron Defense,Explosion,Gyro Ball,Double-Edge,Stealth Rock,Secret Power,Pin Missile","0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
246,"Tackle,Protect,Bug Bite,Self Destruct,Toxic Spikes,Zap Cannon,Take Down,Rapid Spin,Bide,Natural Gift,Spikes,Mirror Shot,Autotomize,Payback,Iron Defense,Magnet Rise,Explosion,Heavy Slam,Gyro Ball,Double-Edge,Stealth Rock,Power Trick,Endure","0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
247,"Defense Curl,Rage,Rollout,Spite,Pursuit,Screech,Yawn,Body Slam,Ancient Power,Take Down,Dig,Glare,Coil,Endure,Air Slash,Dragon Rush,Drill Run,Double-Edge,Roost,Endeavor,Flail,Magic Coat,Agility,Trump Card","0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
248,"Poison Sting,Sand Attack,Harden,Knock Off,Quick Attack,Fury Cutter,Feint Attack,Acrobatics,Slash,U-Turn,Screech,Sky Uppercut,X-Scissor,Swords Dance,Guillotine,Iron Tail,Poison Tail,Feint","0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
249,"Bind,Fire Fang,Harden,Ice Fang,Mud Sport,Thunder Fang,Curse,Rock Throw,Rock Tomb,Rage,Stealth Rock,Autotomize,Gyro Ball,Smack Down,Dragon Breath,Slam,Screech,Rock Slide,Crunch,Iron Tail,Dig,Sandstorm,Stone Edge,Double-Edge,Ancient Power,Aqua Tail,Twister","0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
250,"Bind,Fire Fang,Harden,Ice Fang,Mud Sport,Thunder Fang,Curse,Rock Throw,Rock Tomb,Rage,Stealth Rock,Autotomize,Gyro Ball,Smack Down,Dragon Breath,Slam,Screech,Rock Slide,Crunch,Iron Tail,Dig,Sandstorm,Stone Edge,Double-Edge,Ancient Power,Aqua Tail,Twister","0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
251,"Tackle,Tail Whip,Charm,Scary Face,Fire Fang,Ice Fang,Thunder Fang,Bite,Lick,Headbutt,Rage,Roar,Play Rough,Payback,Crunch,Heal Bell,Present,Fake Tears","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
252,"Tackle,Tail Whip,Charm,Scary Face,Ice Fang,Fire Fang,Thunder Fang,Bite,Lick,Headbutt,Rage,Roar,Play Rough,Payback,Crunch,Outrage,Super Fang,Water Pulse,Close Combat","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
253,"Supersonic,Fell Stinger,Spikes,Poison Sting,Water Gun,Tackle,Minimize,Harden,Destiny Bond,Bubble,Rollout,Toxic Spikes,Stockpile,Spit Up,Revenge,Brine,Pin Missile,Take Down,Aqua Tail,Poison Jab,Hydro Pump,Aqua Jet,Self Destruct,Swords Dance","0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
254,"Leer,Feint,Quick Attack,Pursuit,Focus Energy,False Swipe,Agility,Fury Cutter,Metal Claw,Razor Wind,Slash,X-Scissor,Night Slash,Double Hit,Iron Defense,Bullet Punch,Iron Head,Swords Dance,Steel Wing,Knock Off,Superpower","0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
255,"Leer,Feint,Quick Attack,Pursuit,Focus Energy,False Swipe,Agility,Fury Cutter,Metal Claw,Razor Wind,Slash,X-Scissor,Night Slash,Double Hit,Iron Defense,Bullet Punch,Iron Head,Swords Dance,Steel Wing,Knock Off,Superpower","0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
256,"Bide,Constrict,Rollout,Sticky Web,Withdraw,Encore,Wrap,Struggle Bug,Safeguard,Rest,Rock Throw,Gastro Acid,Power Trick,Shell Smash,Bug Bite,Rock Slide,Guard Split,Power Split,Stone Edge,Infestation,Stealth Rock,Acupressure","0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
257,"Endure,Horn Attack,Leer,Night Slash,Tackle,Fury Attack,Aerial Ace,Arm Thrust,Bullet Seed,Chip Away,Counter,Brick Break,Take Down,Pin Missile,Close Combat,Feint,Reversal,Megahorn,Rock Blast,Vacuum Wave,Iron Defense","0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
258,"Endure,Horn Attack,Leer,Night Slash,Tackle,Fury Attack,Aerial Ace,Arm Thrust,Bullet Seed,Chip Away,Counter,Brick Break,Take Down,Pin Missile,Close Combat,Feint,Reversal,Megahorn,Rock Blast,Vacuum Wave,Iron Defense","0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
259,"Leer,Scratch,Taunt,Quick Attack,Feint Attack,Icy Wind,Fury Swipes,Agility,Metal Claw,Hone Claws,Beat Up,Screech,Slash,Snatch,Punishment,Ice Shard,Ice Punch,Crush Claw,Fake Out","0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
260,"Baby-Doll Eyes,Scratch,Fake Tears,Lick,Covet,Fling,Fury Swipes,Feint Attack,Sweet Scent,Play Nice,Slash,Charm,Rest,Snore,Thrash,Play Rough,Defense Curl,Yawn","0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,4"
261,"Baby-Doll Eyes,Scratch,Fake Tears,Lick,Covet,Fury Swipes,Snore,Feint Attack,Sweet Scent,Play Nice,Slash,Scary Face,Rest,Hammer Arm,Thrash,Swords Dance,Night Slash,Gunk Shot","0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
262,"Smog,Yawn,Ember,Rock Throw,Harden,Incinerate,Clear Smog,Recover,Flame Burst,Ancient Power,Amnesia,Flamethrower,Body Slam,Lava Plume,Rock Slide,Earth Power,Acid Armor,Smokescreen,Heat Wave","0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
263,"Yawn,Smog,Rock Throw,Ember,Body Slam,Harden,Incinerate,Recover,Clear Smog,Flame Burst,Ancient Power,Amnesia,Lava Plume,Earth Power,Rock Slide,Shell Smash,Flamethrower,Inferno,Stealth Rock,Self Destruct","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
264,"Odor Sleuth,Tackle,Mud Sport,Powder Snow,Mud Slap,Take Down,Mud Bomb,Icy Wind,Ice Shard,Endure,Mist,Earthquake,Flail,Blizzard,Amnesia,Freeze Dry,Stealth Rock,Body Slam","0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
265,"Odor Sleuth,Mud Sport,Mud Slap,Peck,Powder Snow,Take Down,Endure,Mud Bomb,Icy Wind,Ice Fang,Ancient Power,Fury Attack,Mist,Thrash,Earthquake,Blizzard,Amnesia,Freeze Dry,Body Slam,Avalanche","0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
266,"Tackle,Harden,Bubble,Recover,Refresh,Bubble Beam,Ancient Power,Lucky Chant,Spike Cannon,Brine,Iron Defense,Rock Blast,Endure,Power Gem,Aqua Ring,Mirror Coat,Earth Power,Flail,Head Smash,Screech,Whirlpool","0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
267,"Tackle,Harden,Astonish,Disable,Spite,Ancient Power,Hex,Curse,Strength Sap,Power Gem,Night Shade,Grudge,Mirror Coat,Water Pulse,Head Smash,Destiny Bond","0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
268,"Water Gun,Lock-On,Psybeam,Aurora Beam,Bubble Beam,Focus Energy,Water Pulse,Signal Beam,Ice Beam,Bullet Seed,Hydro Pump,Hyper Beam,Soak,Mud Shot,Dive,Supersonic","0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
269,"Rock Blast,Constrict,Water Gun,Aurora Beam,Psybeam,Bullet Seed,Bubble Beam,Focus Energy,Octazooka,Wring Out,Signal Beam,Ice Beam,Gunk Shot,Hydro Pump,Hyper Beam,Soak,Water Spout,Acid Spray,Dive","0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
270,"Present,Fake Out,Icy Wind,Spikes,Ice Ball,Drill Peck,Freeze Dry,Future Sight,Aurora Veil,Ice Shard,Sky Attack","0,1,1,2,2,2,2,3,4,4,4"
271,"Bubble,Tackle,Psybeam,Bubble Beam,Supersonic,Bullet Seed,Signal Beam,Roost,Confuse Ray,Wing Attack,Wide Guard,Water Pulse,Agility,Take Down,Headbutt,Air Slash,Aqua Ring,Bounce,Hydro Pump,Twister,Mirror Coat,Mud Sport","0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
272,"Leer,Peck,Sand Attack,Swift,Metal Claw,Agility,Fury Attack,Feint,Air Cutter,Spikes,Metal Sound,Steel Wing,Autotomize,Air Slash,Slash,Night Slash,Brave Bird,Ominous Wind,Pursuit","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
273,"Ember,Leer,Howl,Smog,Bite,Roar,Odor Sleuth,Beat Up,Fire Fang,Feint Attack,Embargo,Flamethrower,Foul Play,Crunch,Nasty Plot,Inferno,Super Fang,Reversal,Feint","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
274,"Ember,Leer,Bite,Howl,Smog,Thunder Fang,Roar,Beat Up,Odor Sleuth,Feint Attack,Fire Fang,Flamethrower,Embargo,Crunch,Foul Play,Inferno,Nasty Plot,Destiny Bond,Spite,Sucker Punch","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
275,"Ember,Leer,Bite,Howl,Smog,Thunder Fang,Roar,Beat Up,Odor Sleuth,Feint Attack,Fire Fang,Flamethrower,Embargo,Crunch,Foul Play,Inferno,Nasty Plot,Destiny Bond,Spite,Sucker Punch","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
276,"Bubble,Leer,Water Gun,Smokescreen,Focus Energy,Yawn,Agility,Bubble Beam,Brine,Twister,Dragon Dance,Hydro Pump,Dragon Pulse,Draco Meteor,Dragon Breath,Muddy Water","0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
277,"Defense Curl,Growl,Odor Sleuth,Tackle,Flail,Take Down,Rollout,Natural Gift,Slam,Charm,Endure,Last Resort,Double-Edge,Play Rough,Ice Shard,Mud Slap","0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4"
278,"Defense Curl,Horn Attack,Growl,Fire Fang,Thunder Fang,Rapid Spin,Bulldoze,Knock Off,Rollout,Magnitude,Slam,Fury Attack,Assurance,Scary Face,Earthquake,Giga Impact,Counter,Ice Shard,Fissure","0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
279,"Conversion,Conversion 2,Tackle,Defense Curl,Psybeam,Agility,Recover,Magnet Rise,Signal Beam,Recycle,Discharge,Lock-On,Tri Attack,Magic Coat,Zap Cannon,Hyper Beam,Gravity,Pain Split,Shock Wave","0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
280,"Tackle,Astonish,Leer,Take Down,Hypnosis,Stomp,Sand Attack,Me First,Confuse Ray,Calm Mind,Role Play,Zen Headbutt,Jump Kick,Imprison,Captivate,Disable,Megahorn,Thrash","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
281,"Sketch,Sketch,Sketch,Sketch,Sketch,Sketch,Sketch,Sketch,Sketch,Sketch","0,0,1,1,2,2,3,3,4,4"
282,"Tackle,Foresight,Helping Hand,Fake Out,Work Up,Role Play,Seismic Toss","0,1,2,2,4,4,4"
283,"Revenge,Rolling Kick,Focus Energy,Quick Attack,Pursuit,Triple Kick,Rapid Spin,Counter,Feint,Agility,Gyro Ball,Quick Guard,Wide Guard,Detect,Close Combat,Endeavor,Mach Punch,High Jump Kick,Twister","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
284,"Pound,Lick,Sweet Kiss,Powder Snow,Confusion,Sing,Heart Stamp,Mean Look,Fake Tears,Lucky Chant,Avalanche,Psychic,Copycat,Perish Song,Blizzard,Fake Out,Helping Hand,Magic Coat","0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
285,"Leer,Quick Attack,Thunder Shock,Low Kick,Swift,Shock Wave,Thunder Wave,Electro Ball,Light Screen,Thunder Punch,Screech,Thunderbolt,Discharge,Thunder,Meditate,Karate Chop,Uproar","0,0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
286,"Leer,Smog,Ember,Smokescreen,Feint Attack,Fire Spin,Clear Smog,Flame Burst,Confuse Ray,Fire Punch,Lava Plume,Sunny Day,Flamethrower,Fire Blast,Karate Chop,Belch,Screech","0,0,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
287,"Tackle,Growl,Defense Curl,Stomp,Milk Drink,Bide,Rollout,Body Slam,Zen Headbutt,Captivate,Gyro Ball,Heal Bell,Wake-Up Slap,Belch,Helping Hand,Mega Kick","0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
288,"Growl,Pound,Tail Whip,Defense Curl,Double Slap,Refresh,Bestow,Soft Boiled,Take Down,Minimize,Fling,Sing,Heal Pulse,Double-Edge,Egg Bomb,Light Screen,Healing Wish,Seismic Toss,Last Resort,Metronome","0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
289,"Bite,Leer,Thunder Shock,Roar,Quick Attack,Spark,Reflect,Crunch,Thunder Fang,Discharge,Extrasensory,Rain Dance,Calm Mind,Thunder,Double Team,Substitute,Volt Switch,Flash,Mimic,Curse,Shock Wave","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
290,"Bite,Leer,Ember,Roar,Fire Spin,Stomp,Flamethrower,Swagger,Fire Fang,Lava Plume,Extrasensory,Fire Blast,Calm Mind,Eruption,Double Team,Substitute,Will-O-Wisp,Rock Smash,Mimic,Curse,Sacred Fire","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
291,"Bite,Leer,Bubble Beam,Rain Dance,Gust,Aurora Beam,Mist,Mirror Coat,Ice Fang,Tailwind,Extrasensory,Hydro Pump,Calm Mind,Blizzard,Double Team,Substitute,Dive,Ominous Wind,Mimic,Curse,Sheer Cold","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
292,"Bite,Leer,Sandstorm,Screech,Chip Away,Rock Slide,Scary Face,Thrash,Dark Pulse,Payback,Crunch,Earthquake,Stone Edge,Hyper Beam,Stealth Rock,Spite,Focus Energy","0,0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
293,"Bite,Leer,Sandstorm,Screech,Chip Away,Rock Slide,Scary Face,Thrash,Dark Pulse,Payback,Crunch,Earthquake,Stone Edge,Hyper Beam,Dragon Dance,Iron Defense,Focus Energy","0,0,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4"
294,"Bite,Tackle,Leer,Screech,Sandstorm,Fire Fang,Thunder Fang,Ice Fang,Chip Away,Rock Slide,Scary Face,Thrash,Dark Pulse,Payback,Crunch,Earthquake,Stone Edge,Hyper Beam,Giga Impact,Dragon Dance,Outrage,Superpower","0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
295,"Bite,Tackle,Leer,Screech,Sandstorm,Fire Fang,Thunder Fang,Ice Fang,Chip Away,Rock Slide,Scary Face,Thrash,Dark Pulse,Payback,Crunch,Earthquake,Stone Edge,Hyper Beam,Giga Impact,Dragon Dance,Outrage,Superpower","0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
296,"Gust,Dragon Rush,Extrasensory,Rain Dance,Hydro Pump,Aeroblast,Punishment,Ancient Power,Safeguard,Recover,Future Sight,Natural Gift,Calm Mind,Sky Attack,Whirlwind,Weather Ball,Hurricane,Twister,Hidden Power,Defog,Strength,Dive","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
297,"Gust,Brave Bird,Extrasensory,Sunny Day,Fire Blast,Sacred Fire,Punishment,Ancient Power,Safeguard,Recover,Future Sight,Natural Gift,Calm Mind,Sky Attack,Whirlwind,Weather Ball,Solar Beam,Flash,Hidden Power,Defog,Strength,Fly","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
298,"Leech Seed,Confusion,Recover,Heal Bell,Safeguard,Magical Leaf,Ancient Power,Baton Pass,Natural Gift,Heal Block,Future Sight,Healing Wish,Leaf Storm,Perish Song,Double Team,Trick Room,Nature Power,Worry Seed","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
299,"Leer,Pound,Absorb,Quick Attack,Pursuit,Screech,Mega Drain,Agility,Slam,Detect,Quick Guard,Endeavor,Giga Drain,Energy Ball,Iron Tail,Bullet Seed,Grass Pledge","0,0,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4"
300,"Pound,Leer,Absorb,Quick Attack,Pursuit,Fury Cutter,Mega Drain,Screech,Leaf Blade,Agility,Slam,False Swipe,X-Scissor,Quick Guard,Detect,Leaf Storm,Drain Punch,Dragon Breath,Grass Pledge","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
